ID,NAME,SCL_LVL,SCL_TP,BRD_NAME,SCL_TP_DSC,ADD_FULL,POSTAL_CD,MUN,LATITUDE,LONGITUDE
609,REXDALE LINC,Adult,EP,Toronto District School Board,English Public,2267 Islington Ave,M9W 3W7,Etobicoke,43.7167606,-79.55462013
610,NORTH EAST YEAR ROUND ALTERNATIVE CENTRE,Secondary,EP,Toronto District School Board,English Public,2900 Don Mills Rd E,M2J 3B6,North York,43.78194088,-79.34874146
611,LAKESHORE COLLEGIATE INSTITUTE,Secondary,EP,Toronto District School Board,English Public,350 Kipling Ave,M8V 3L1,Etobicoke,43.60157199,-79.51916391
612,Yorkdale Secondary School,Secondary,EP,Toronto District School Board,English Public,38 Orfus Rd,M6A 1L6,North York,43.71993015,-79.46063004
613,ETOBICOKE SCHOOL OF THE ARTS,Secondary,EP,Toronto District School Board,English Public,675 Royal York Rd,M8Y 2T1,Etobicoke,43.63074078,-79.50415178
614,MIMICO ADULT CENTRE,Adult,EP,Toronto District School Board,English Public,255 Royal York Rd,M8V 2V8,Etobicoke,43.61270075,-79.49677699
615,JOHN POLANYI COLLEGIATE INSTITUTE,Secondary,EP,Toronto District School Board,English Public,640 Lawrence Ave W,M6A 1B1,North York,43.71781754,-79.43985857
616,DON MILLS LINC,Adult,EP,Toronto District School Board,English Public,1470 Don Mills Rd,M3B 2X9,North York,43.75322678,-79.3477334
617,MARTINGROVE COLLEGIATE INSTITUTE,Secondary,EP,Toronto District School Board,English Public,50 Winterton Dr,M9B 3G7,Etobicoke,43.67339135,-79.56074293
618,Emery Edvance Secondary School,Secondary,EP,Toronto District School Board,English Public,3395 Weston Rd,M9M 2V9,Etobicoke,43.74845,-79.538566
619,THISTLETOWN COLLEGIATE INSTITUTE,Secondary,EP,Toronto District School Board,English Public,20 Fordwich Cres,M9W 2T4,Etobicoke,43.72773515,-79.56245594
620,EMERY ADULT LEARNING CENTRE,Adult,EP,Toronto District School Board,English Public,3395 Weston Rd,M9M 2V9,North York,43.74872271,-79.53955698
621,MARKHAM LINC,Adult,EP,Toronto District School Board,English Public,5620 Finch Ave E,M1B 1T1,Scarborough,43.81434118,-79.23801177
622,CIVIC CENTRE LINC,Adult,EP,Toronto District School Board,English Public,385 The West Mall,M9C 1E7,Etobicoke,43.64203207,-79.56531662
623,CITY SCHOOL,Secondary,EP,Toronto District School Board,English Public,635 Queens Quay W,M5V 3G3,former Toronto,43.63575739,-79.39719083
624,ETOBICOKE YEAR ROUND ALTERNATIVE CENTRE,Secondary,EP,Toronto District School Board,English Public,160 Silverhill Dr,M9B 3W7,Etobicoke,43.63386641,-79.5512794
625,Burnhamthorpe Collegiate Institute,Secondary,EP,Toronto District School Board,English Public,500 The East Mall,M9B 2C4,Etobicoke,43.64962968,-79.56184169
626,OUR LADY OF LOURDES CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,444 Sherbourne St,M4X 1K2,Toronto and East York,43.66605208,-79.37469879
627,SANTA MARIA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,25 Avon Ave,M6N 4X8,Etobicoke,43.68097329,-79.47768089
628,ST JAMES CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,230 Humbercrest Blvd,M6S 4L3,Etobicoke,43.66468227,-79.49540115
629,ST HELEN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1196 College St,M6H 1B8,Toronto and East York,43.65209316,-79.43615958
630,HOLY FAMILY CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,141 Close Ave,M6K 2V6,Toronto and East York,43.63875022,-79.434911
631,ST DUNSTAN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,14 Pharmacy Ave,M1L 3E4,Scarborough,43.69343779,-79.28424241
632,ST BARBARA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,25 Janray Dr,M1G 1Y2,Scarborough,43.7623208,-79.21876162
633,ST CYRIL CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,18 Kempford Blvd,M2N 2B9,North York,43.77706087,-79.41670444
634,ST THERESA SHRINE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,2665 Kingston Rd,M1M 1M2,Scarborough,43.71564646,-79.24247879
635,ST ANDREW CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,2533 Kipling Ave,M9V 3A8,Etobicoke,43.74493973,-79.58238508
636,ST EDMUND CAMPION CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,30 Highcastle Rd,M1E 4N1,Scarborough,43.78804029,-79.2160939
637,ST BERNARD CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,12 Duckworth St,M6M 4W4,Etobicoke,43.70251481,-79.50061114
638,ST PAUL CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,80 Sackville St,M5A 3E5,Toronto and East York,43.65549752,-79.36173742
639,ST MATTHEW CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,18 Lavender Rd,M6N 2B5,Etobicoke,43.68067882,-79.46794614
640,ST CONRAD CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,5 Exbury Rd,M3M 0A8,North York,43.67845892,-79.32800686
641,ST NICHOLAS OF BARI CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,363 Rogers Rd,M6E 1R6,Etobicoke,43.68283296,-79.46049646
642,ST CLEMENT CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,4319 Bloor St W,M9C 2A2,Etobicoke,43.65586641,-79.45181097
643,ST JOHN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,780 Kingston Rd,M4E 1R7,Toronto and East York,43.68022438,-79.29456868
644,SENHOR SANTO CRISTO CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,30 Humbert St,M6J 1M5,Toronto and East York,43.64605656,-79.42090188
645,JAMES CULNAN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,605 Willard Ave,M6S 3S1,Etobicoke,43.6611157,-79.48558752
646,ST CECILIA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,355 Annette St,M6P 1R3,Etobicoke,43.66110836,-79.47452931
647,ST LUKE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,319 Ossington Ave,M6J 3A6,Toronto and East York,43.65163995,-79.42101943
648,ST BRIGID CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,50 Woodmount Ave,M4C 3X9,Toronto and East York,43.68695754,-79.31690251
649,ST CATHERINE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,30 Roanoke Rd,M3A 1E9,North York,43.74234387,-79.3247423
650,ST BARNABAS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,30 Washburn Way,M1B 1H3,Scarborough,43.79724984,-79.22851511
651,ST MICHAEL CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,50 George St S,M5A 4B2,Toronto and East York,43.64787799,-79.36962294
652,OUR LADY OF VICTORY CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,70 Guestville Ave,M6N 4N3,Etobicoke,43.68332971,-79.49031805
653,POPE PAUL VI CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,270 Laughton Ave,M6N 2X8,Etobicoke,43.67402149,-79.45779629
654,ST ISAAC JOGUES CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1330 York Mills Rd,M3A 1Z8,North York,43.76233395,-79.32196339
655,ST CHARLES GARNIER CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,20 Stong Crt,M3N 2X9,North York,43.76260428,-79.51814501
656,ST LUIGI CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,2 Ruskin Ave,M6P 3P8,Toronto and East York,43.66288416,-79.45147337
657,ST SYLVESTER CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,260 Silver Springs Blvd,M1V 1S4,Scarborough,43.805367,-79.30224962
658,ST MAURICE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,45 Kingsview Blvd,M9R 1T7,Etobicoke,43.69782135,-79.55393616
659,ST ROSE OF LIMA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,3220 Lawrence Ave E,M1H 1A4,Scarborough,43.75748239,-79.24055993
660,ANNUNCIATION CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,65 Avonwick Gt,M3A 2M8,North York,43.75335949,-79.32127103
661,ST JEROME CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,111 Sharpecroft Blvd,M3J 1P5,North York,43.748843,-79.48854516
662,HOLY CROSS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,299A Donlands Ave,M4J 3R7,Toronto and East York,43.68998755,-79.34067636
663,ST MARTHA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1865 Sheppard Ave W,M3L 1Y5,North York,43.7410766,-79.50232794
664,ST SEBASTIAN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,717 Brock Ave,M6H 3P1,Toronto and East York,43.66277473,-79.43992972
665,ST PIUS X CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,71 Jane St,M6S 3Y3,Etobicoke,43.6512858,-79.4847166
666,BLESSED MARGHERITA OF CITTA DI CASTELLO CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,108 Spenvalley Dr,M3L 1Z5,North York,43.74368106,-79.50791733
667,ST RITA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,178 Edwin Ave,M6P 3Z9,Etobicoke,43.66614335,-79.45645159
668,ST NICHOLAS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,33 Amarillo Dr,M1J 2P7,Scarborough,43.7476524,-79.23285869
669,ST ANTHONY CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,130 Shanly St,M6H 1L9,Toronto and East York,43.6637121,-79.43497209
670,ST EUGENE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,30 Westroyal Rd,M9P 2C3,Etobicoke,43.69261139,-79.53749502
671,MOTHER CABRINI CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,720 Renforth Dr,M9C 2N9,Etobicoke,43.66378668,-79.58631138
672,ST FRANCIS OF ASSISI CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,80 Clinton St,M6G 2Y3,Toronto and East York,43.65620845,-79.41463137
673,NATIVITY OF OUR LORD CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,35 Saffron Cres,M9C 3T8,Etobicoke,43.65313182,-79.57537347
674,ST ALPHONSUS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,60 Atlas Ave,M6C 3N9,Toronto and East York,43.68291368,-79.43220644
675,ST JOHN BOSCO CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,75 Holmesdale Rd,M6E 1Y2,Etobicoke,43.68872437,-79.45056099
676,IMMACULATE CONCEPTION CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,23 Comay Rd,M6M 2K9,Etobicoke,43.69768872,-79.47782497
677,PRECIOUS BLOOD CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1035 Pharmacy Ave,M1R 2G8,Scarborough,43.73936503,-79.30224064
678,ST BRUNO CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,402 Melita Cres,M6G 3X6,Toronto and East York,43.67324853,-79.42706618
679,ST AUGUSTINE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,98 Shoreham Dr,M3N 1S9,North York,43.76823652,-79.52506429
680,HOLY SPIRIT CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,3530 Sheppard Ave E,M1T 3K7,Scarborough,43.78121636,-79.30309947
681,ST MARTIN DE PORRES CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,230 Morningside Ave,M1E 3E1,Scarborough,43.76713719,-79.18682499
682,ST MARY OF THE ANGELS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1477 Dufferin St,M6H 4C7,Etobicoke,43.67212745,-79.44029596
683,ST WILFRID CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1685 Finch Ave W,M3J 2G8,North York,43.76329817,-79.49380188
684,ST TERESA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,110 Tenth St,M8V 3G1,Etobicoke,43.59930713,-79.5090628
685,ST MICHAEL'S CHOIR SCHOOL - ELEMENTARY,Elementary,ES,Toronto Catholic District School Board,English Separate,67 Bond St,M5B 1X4,Toronto and East York,43.65554475,-79.37773265
686,ST THOMAS MORE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,2300 Ellesmere Rd,M1G 3M7,Scarborough,43.65929857,-79.58198738
687,ST ANTOINE DANIEL CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,160 Finch Ave W,M2N 2J2,North York,43.75414151,-79.5191278
688,ST MARY CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,20 Portugal Sq,M6J 3P2,Toronto and East York,43.64585239,-79.40463821
689,ST ELIZABETH SETON CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,25 Havenview Rd,M1S 3A4,Scarborough,43.78895985,-79.24670903
690,STELLA MARIS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,31 Ascot Ave,M6E 1E6,Etobicoke,43.67965933,-79.4452194
691,TRANSFIGURATION OF OUR LORD CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,55 Ludstone Dr,M9R 2J2,Etobicoke,43.69152984,-79.56287403
692,ST PASCHAL BAYLON CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,15 St Paschal Crt,M2M 1X6,North York,43.79220929,-79.43132515
693,ST GERALD CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,200 Old Sheppard Ave,M2J 3L9,Scarborough,43.78072188,-79.32638305
694,ST COSMAS AND DAMIAN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,111 Danesbury Ave,M6B 3L3,North York,43.70659865,-79.44557161
695,ST FIDELIS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,9 Bannerman St,M6L 2S5,Etobicoke,43.7172961,-79.48495176
696,ST THOMAS AQUINAS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,636 Glenholme Ave,M6E 3G9,North York,43.69589829,-79.44574704
697,ST MONICA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,14 Broadway Ave,M4P 1T4,North York,43.71016786,-79.39763094
698,ST DOROTHY CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,155 John Garland Blvd,M9V 1N7,Etobicoke,43.73150129,-79.59174304
699,ST HENRY CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,100 Bamburgh Crcl,M1W 3R3,Scarborough,43.8136517,-79.32831944
700,ST FRANCIS XAVIER CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,53 Gracefield Ave,M6L 1L3,Etobicoke,43.7108581,-79.48341034
701,ST MARCELLUS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,15 Denfield St,M9R 3H2,Etobicoke,43.67979193,-79.55422495
702,ST ANGELA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,220 Mount Olive Dr,M9V 3Z5,Etobicoke,43.75443142,-79.59687038
703,ST KEVIN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,15 Murray Glen Dr,M1R 3J6,Scarborough,43.75071537,-79.30586048
704,ST COLUMBA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,10 John Tabor Trl,M1B 1M9,Scarborough,43.80620207,-79.2118306
705,D'ARCY MCGEE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,20 Bansley Ave,M6E 2A2,North York,43.69226421,-79.44291484
706,HOLY NAME CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,690 Carlaw Ave,M4K 3K9,Toronto and East York,43.67735609,-79.34728806
707,OUR LADY OF PERPETUAL HELP CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1 1/2 Garfield Ave,M4T 1E6,Toronto and East York,43.68730708,-79.38330812
708,ST MARIA GORETTI CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,21 Kenmark Blvd,M1K 3N8,Scarborough,43.72984392,-79.26592531
709,ST DENIS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,67 Balsam Ave,M4E 3B8,Toronto and East York,43.67300693,-79.28991082
710,IMMACULATE HEART OF MARY CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,101 Birchmount Rd,M1N 3J7,Scarborough,43.69615339,-79.2624612
711,OUR LADY OF GUADALUPE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,3105 Don Mills Rd,M2J 3C2,North York,43.78988285,-79.35335147
712,ST LOUIS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,11 Morgan Ave,M8Y 2Z7,Etobicoke,43.6257537,-79.50095866
713,ST CLARE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,124 Northcliffe Blvd,M6E 3K4,Etobicoke,43.67942005,-79.44155484
714,ST ROCH CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,174 Duncanwoods Dr,M9L 2E3,Etobicoke,43.75371657,-79.56675302
715,BLESSED SACRAMENT CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,24 Bedford Park Ave,M5M 1H9,North York,43.72749021,-79.40400076
716,ST JOSEPH CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,176 Leslie St,M4M 3C7,Toronto and East York,43.66580807,-79.33189055
717,EPIPHANY OF OUR LORD CATHOLIC ACADEMY,Elementary,ES,Toronto Catholic District School Board,English Separate,3150 Pharmacy Ave,M1W 3J5,Scarborough,43.7989667,-79.32894348
718,ST MATTHIAS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,101 Van Horne Ave,M2J 2S8,North York,43.78489883,-79.35945887
719,ST LAWRENCE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,2216 Lawrence Ave E,M1P 2P9,Scarborough,43.74931499,-79.27992405
720,ST BONIFACE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,20 Markanna Dr,M1M 2J1,Scarborough,43.74092885,-79.21997621
721,ST ANSELM CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,182 Bessborough Dr,M4G 4H5,North York,43.70540297,-79.3715984
722,ST STEPHEN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,55 Golfdown Dr,M9W 2H8,Etobicoke,43.72193063,-79.55444917
723,OUR LADY OF FATIMA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,3176 St Clair Ave E,M1L 1V6,Scarborough,43.71016854,-79.29361906
724,OUR LADY OF GRACE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,121 Brimwood Blvd,M1V 1E5,Scarborough,43.81212792,-79.27509724
725,ST RENE GOUPIL CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,44 Port Royal Trl,M1V 2G8,Scarborough,43.81935698,-79.28830635
726,ST ALBERT CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1125 Midland Ave,M1K 4H2,Scarborough,43.80107778,-79.2857207
727,SACRED HEART CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,75 Hupfield Trl,M1B 4S3,Scarborough,43.81219262,-79.2201472
728,CHRIST THE KING CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,3672 Lake Shore Blvd W,M8W 1N6,Etobicoke,43.5944853,-79.53818257
729,ST LEO CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,165 Stanley Ave,M8V 1P1,Etobicoke,43.61428856,-79.49629172
730,ST RAYMOND CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,270 Barton Ave,M6G 1R4,Toronto and East York,43.66596211,-79.42301841
731,ST GABRIEL CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,396 Spring Garden Ave,M2N 3H5,North York,43.7693665,-79.39134463
732,HOLY ROSARY CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,308 Tweedsmuir Ave,M5P 2Y1,Toronto and East York,43.6850559,-79.41404858
733,ST JANE FRANCES CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,2745 Jane St,M3L 2E8,North York,43.74215675,-79.51316893
734,ST BARTHOLOMEW CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,51 Heather Rd,M1S 2E2,Scarborough,43.78961202,-79.27162159
735,ST AIDAN CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,3521 Finch Ave E,M1W 2S2,Scarborough,43.80740096,-79.27431105
736,ST VINCENT DE PAUL CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,116 Fermanagh Ave,M6R 1M2,Toronto and East York,43.7973881,-79.30936975
737,ST CHARLES BORROMEO CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,50 Claver Ave,M6B 2W1,North York,43.71329049,-79.45135395
738,ST MARGUERITE BOURGEOYS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,75 Alexmuir Blvd,M1V 1H6,Scarborough,43.80823928,-79.28509517
739,FATHER SERRA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,111 Sun Row Dr,M9P 3J3,Etobicoke,43.68625201,-79.53684796
740,VENERABLE JOHN MERLINI CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,123 Whitfield Ave,M9L 1G9,Etobicoke,43.7565731,-79.57941455
741,OUR LADY OF SORROWS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,32 Montgomery Rd,M8X 1Z4,Etobicoke,43.6480231,-79.51832832
742,ST GABRIEL LALEMANT CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,160 Crow Trl,M1B 1Y3,Scarborough,43.81271225,-79.22673067
743,ST VICTOR CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,20 Bernadine St,M1P 4M2,Scarborough,43.76906576,-79.25910858
744,ST BEDE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,521 Sewell's Rd,M1B 5H3,Scarborough,43.80966742,-79.21483296
745,OUR LADY OF THE ASSUMPTION CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,125 Glenmount Ave,M6B 3C2,North York,43.71619799,-79.43128625
746,ALL SAINTS CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,1435 Royal York Rd,M9P 3A7,Etobicoke,43.6856265,-79.52716621
747,ST ELIZABETH CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,5 Redcar Ave,M9B 1J8,Etobicoke,43.63495127,-79.55746
748,ST IGNATIUS LOYOLA CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,2350 McCowan Rd,M1S 4B4,Scarborough,43.80358711,-79.2654165
749,HOLY REDEEMER CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,111 Aspenwood Dr,M2H 2G2,North York,43.80705233,-79.36316184
750,PRINCE OF PEACE CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,255 Alton Towers Crcl,M1V 4E7,Scarborough,43.82539768,-79.27894753
751,ST FRANCIS DE SALES CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,333 Firgrove Cres,M3N 1K9,Etobicoke,43.59022743,-79.54378427
752,ST RAPHAEL CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,3 Gade Dr,M3M 2K2,North York,43.72856993,-79.48849022
753,ST RICHARD CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,960 Bellamy Rd N,M1H 1H1,Scarborough,43.76838155,-79.24028659
754,ST MARGARET CATHOLIC ELEMENTARY SCHOOL,Elementary,ES,Toronto Catholic District School Board,English Separate,85 Carmichael Ave,M5M 2X1,North York,43.73583786,-79.42662883
